signalUtc,entryUtc,symbol,symbolGroup,pLongLogit,pLongHgb,predSpreadR,pTradableHgb,directionalScore,chosenDirection,strength,selected,targetSpreadR,tradableOpportunity,chosenNetR,chosenStressNetR,oppositeNetR,pairMeanR,chosenDeltaVsPairMeanR,directionCorrect,chosenGood,longGood,shortGood,longNetR,shortNetR
2026-01-01T00:00:00+00:00,2026-01-01T01:00:00+00:00,BTCUSDT,LARGE,0.530275858367216,0.4954687112724975,0.006807215068260899,0.7983835788969104,0.019654914214156088,LONG,0.01767353748368289,False,2.4431615329754495,1,1.2293518597993012,1.0839395157862561,-1.213809673176148,0.007771093311576549,1.2215807664877247,1,1,1,0,1.2293518597993012,-1.213809673176148
2026-01-01T01:00:00+00:00,2026-01-01T02:00:00+00:00,BTCUSDT,LARGE,0.48586843105192146,0.43603679168027615,-0.41938363437180126,0.8121454374462819,-0.1517044233824349,SHORT,0.13745523933644924,False,-0.02799714536286202,0,-1.2191089118727618,-1.367972546214127,-1.2471060572356238,-1.2331074845541927,0.013998572681430899,1,0,0,0,-1.2471060572356238,-1.2191089118727618
2026-01-01T02:00:00+00:00,2026-01-01T03:00:00+00:00,BTCUSDT,LARGE,0.46159322044904455,0.40005323731994974,-0.3998496340899714,0.808117314613471,-0.18966692390806672,SHORT,0.17147002456382557,False,-0.02892614691734341,0,-1.2261126364260369,-1.3797359064320656,-1.2550387833433803,-1.2405757098847086,0.014463073458671705,1,0,0,0,-1.2550387833433803,-1.2261126364260369
2026-01-01T03:00:00+00:00,2026-01-01T04:00:00+00:00,BTCUSDT,LARGE,0.4433921821700072,0.38030118078858527,-0.4591696278394872,0.8088249407424294,-0.2289123710616485,SHORT,0.20703120301039765,False,2.4380044764449678,1,-1.2332491473465648,-1.3917222928210085,1.204755329098403,-0.014246909124080886,-1.2190022382224839,0,0,1,0,1.204755329098403,-1.2332491473465648
2026-01-01T04:00:00+00:00,2026-01-01T05:00:00+00:00,BTCUSDT,LARGE,0.5346436250752457,0.4245066787389924,-0.039072267185711544,0.7986532285892253,-0.037969078600147206,SHORT,0.03414660290535641,False,2.4470679808786566,1,-1.2375690860460682,-1.3959151434101122,1.2094988948325884,-0.014035095606739878,-1.2235339904393283,0,0,1,0,1.2094988948325884,-1.2375690860460682
2026-01-01T05:00:00+00:00,2026-01-01T06:00:00+00:00,BTCUSDT,LARGE,0.41786960348903357,0.3059809545365229,-0.6987444206844498,0.7908855073266013,-0.3454741439995642,SHORT,0.30935231882244146,True,2.440203824750716,1,-1.2473405772389712,-1.4122009620649638,1.1928632475117447,-0.02723866486361326,-1.220101912375358,0,0,1,0,1.1928632475117447,-1.2473405772389712
2026-01-01T06:00:00+00:00,2026-01-01T07:00:00+00:00,BTCUSDT,LARGE,0.5245348371193718,0.4181389268600242,-0.11734712709395057,0.7986532285892253,-0.06820923170396612,SHORT,0.0613423774119646,False,2.441716882297225,1,-1.261649029662564,-1.4360483827709238,1.180067852634661,-0.04079058851395145,-1.2208584411486125,0,0,1,0,1.180067852634661,-1.261649029662564
2026-01-01T07:00:00+00:00,2026-01-01T08:00:00+00:00,BTCUSDT,LARGE,0.5248254446708356,0.4454274806028949,-0.13276858926701496,0.8056835907805296,-0.05256812465443059,SHORT,0.047460700043305354,False,2.438537948509775,1,-1.2759542317058823,-1.4598903861764838,1.1625837168038924,-0.05668525745099495,-1.2192689742548874,0,0,1,0,1.1625837168038924,-1.2759542317058823
2026-01-01T08:00:00+00:00,2026-01-01T09:00:00+00:00,BTCUSDT,LARGE,0.5034938166671561,0.4871638926330174,-0.12582857457663052,0.818640075830858,-0.036636871344040464,SHORT,0.033314641239665564,False,2.494402681360139,1,-1.3130259286906216,-1.5008414859049863,1.1813767526695176,-0.06582458801055202,-1.2472013406800695,0,0,1,0,1.1813767526695176,-1.3130259286906216
2026-01-01T09:00:00+00:00,2026-01-01T10:00:00+00:00,BTCUSDT,LARGE,0.5342920395834435,0.4907700162696755,-0.12432148529010711,0.8032750589693327,-0.01219572469308635,SHORT,0.010996123082549518,False,2.4888867874890703,1,-1.3125205419302177,-1.5032918308416325,1.1763662455588526,-0.06807714818568256,-1.2444433937445352,0,0,1,0,1.1763662455588526,-1.3125205419302177
2026-01-01T10:00:00+00:00,2026-01-01T11:00:00+00:00,BTCUSDT,LARGE,0.5584943507753654,0.5010506344467986,-0.11168066997617572,0.7952410397509898,0.014949220669612264,LONG,0.013418727229190856,False,2.488372015427364,1,1.1610658419436906,0.9611187424817081,-1.3273061734836733,-0.08312016576999137,1.244186007713682,1,1,1,0,1.1610658419436906,-1.3273061734836733
2026-01-01T11:00:00+00:00,2026-01-01T12:00:00+00:00,BTCUSDT,LARGE,0.5044396927716807,0.45495991177631745,-0.327451200872137,0.7822667207713612,-0.10525890748471672,SHORT,0.09379972393738108,False,2.488041001697662,1,-1.33681377385588,-1.5424147376601074,1.1512272278417819,-0.09279327300704909,-1.244020500848831,0,0,1,0,1.1512272278417819,-1.33681377385588
2026-01-01T12:00:00+00:00,2026-01-01T13:00:00+00:00,BTCUSDT,LARGE,0.48740277250126895,0.40943354346006616,-0.5357346398362549,0.8057250937554725,-0.19345668790806136,SHORT,0.17466479795520365,False,2.48757698272279,1,-1.3501416408996953,-1.563878530622689,1.137435341823095,-0.10635314953830022,-1.243788491361395,0,0,1,0,1.137435341823095,-1.3501416408996953
2026-01-01T13:00:00+00:00,2026-01-01T14:00:00+00:00,BTCUSDT,LARGE,0.44584552960296053,0.3953470131491328,-0.520343230059973,0.7817468807432972,-0.22930142090971878,SHORT,0.20427854572794865,False,2.487311396995721,1,-1.3577699738995117,-1.5761635391405078,1.1295414230962093,-0.1141142754016512,-1.2436556984978604,0,0,1,0,1.1295414230962093,-1.3577699738995117
2026-01-01T14:00:00+00:00,2026-01-01T15:00:00+00:00,BTCUSDT,LARGE,0.49100266831894485,0.44368723180356184,-0.2432473072210773,0.8237191264859015,-0.10337050797086036,SHORT,0.09425938625051068,False,2.487041519853971,1,-1.365521567818422,-1.588647052553285,1.1215199520355488,-0.12200080789143664,-1.2435207599269855,0,0,1,0,1.1215199520355488,-1.365521567818422
2026-01-01T15:00:00+00:00,2026-01-01T16:00:00+00:00,BTCUSDT,LARGE,0.4642869154336879,0.42904116869978587,-0.38410410143169504,0.8259513459493669,-0.16405941606251268,SHORT,0.1497822557875061,True,2.486918330683158,1,-1.369059890555674,-1.5943453256841227,1.117858440127484,-0.12560072521409493,-1.243459165341579,0,0,1,0,1.117858440127484,-1.369059890555674
2026-01-01T16:00:00+00:00,2026-01-01T17:00:00+00:00,BTCUSDT,LARGE,0.4660070123984807,0.3989725782960453,-0.5101724562748536,0.8195099005462901,-0.2105814377744767,SHORT,0.1915775054509664,True,2.499749999999978,1,-1.3824264001797708,-1.611882240287646,1.1173235998202071,-0.13255140017978184,-1.249874999999989,0,0,1,0,1.1173235998202071,-1.3824264001797708
2026-01-01T17:00:00+00:00,2026-01-01T18:00:00+00:00,BTCUSDT,LARGE,0.4771022089866345,0.4841984508851083,0.0645025809631814,0.8297499386114537,-0.01162264449822193,SHORT,0.010633266528562163,False,2.4997499999999624,1,-1.3500093560625996,-1.5600149697001753,1.149740643937363,-0.10013435606261833,-1.2498749999999812,0,0,1,0,1.149740643937363,-1.3500093560625996
